root@ubuntu-s-1vcpu-1gb-nyc1-01:~# tcpdump -i eth0 port 22
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
00:19:00.793573 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 4126503697:4126503805, ack 2999390586, win 501, length 108
00:19:00.969398 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 61432:61596, ack 37, win 501, length 164
00:19:00.969495 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 61596:61880, ack 37, win 501, length 284
00:19:00.969538 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 61880:62044, ack 37, win 501, length 164
00:19:00.969577 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 62044:62208, ack 37, win 501, length 164
00:19:00.969614 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 62208:62372, ack 37, win 501, length 164
00:19:00.969650 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 62372:62536, ack 37, win 501, length 164
00:19:00.969686 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 62536:62700, ack 37, win 501, length 164
00:19:00.969721 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 62700:62864, ack 37, win 501, length 164
00:19:00.972893 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 57016, win 513, length 0
00:19:00.972989 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 62864:63028, ack 37, win 501, length 164
00:19:00.973110 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 63028:63312, ack 37, win 501, length 284
00:19:00.973156 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 63312:63476, ack 37, win 501, length 164
00:19:00.973686 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 57180, win 512, length 0
00:19:00.973693 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 63476:63640, ack 37, win 501, length 164
00:19:00.974102 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 58448, win 507, length 0
00:19:00.974109 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 63640:63924, ack 37, win 501, length 284
00:19:00.974158 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 63924:64208, ack 37, win 501, length 284
00:19:00.974194 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 64208:64372, ack 37, win 501, length 164
00:19:00.974230 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 64372:64536, ack 37, win 501, length 164
00:19:00.974266 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 64536:64700, ack 37, win 501, length 164
00:19:00.974302 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 64700:64864, ack 37, win 501, length 164
00:19:00.974337 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 64864:65028, ack 37, win 501, length 164
00:19:00.974707 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 58612, win 513, length 0
00:19:00.974712 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 65028:65192, ack 37, win 501, length 164
00:19:00.975601 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 59060, win 511, length 0
00:19:00.975607 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 65192:65476, ack 37, win 501, length 284
00:19:00.975663 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 65476:65760, ack 37, win 501, length 284
00:19:00.976143 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 60000, win 507, length 0
00:19:00.976150 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 65760:65924, ack 37, win 501, length 164
00:19:00.976199 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 65924:66208, ack 37, win 501, length 284
00:19:00.976249 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 66208:66372, ack 37, win 501, length 164
00:19:00.976285 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 66372:66536, ack 37, win 501, length 164
00:19:00.976321 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 66536:66700, ack 37, win 501, length 164
00:19:00.977376 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 61268, win 513, length 0
00:19:00.977383 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 66700:66864, ack 37, win 501, length 164
00:19:00.977429 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 66864:67148, ack 37, win 501, length 284
00:19:00.977466 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 67148:67312, ack 37, win 501, length 164
00:19:00.977501 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 67312:67476, ack 37, win 501, length 164
00:19:00.977536 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 67476:67640, ack 37, win 501, length 164
00:19:00.977572 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 67640:67804, ack 37, win 501, length 164
00:19:00.977607 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 67804:67968, ack 37, win 501, length 164
00:19:00.983720 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 61596, win 512, length 0
00:19:00.983767 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 67968:68132, ack 37, win 501, length 164
00:19:00.983901 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 68132:68416, ack 37, win 501, length 284
00:19:00.987489 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 62864, win 513, length 0
00:19:00.987489 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 63028, win 512, length 0
00:19:00.987534 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 68416:68580, ack 37, win 501, length 164
00:19:00.987675 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 68580:68976, ack 37, win 501, length 396
00:19:00.987722 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 68976:69140, ack 37, win 501, length 164
00:19:00.987780 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 69140:69304, ack 37, win 501, length 164
00:19:00.987821 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 69304:69468, ack 37, win 501, length 164
00:19:00.987858 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 69468:69632, ack 37, win 501, length 164
00:19:00.987896 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 69632:69796, ack 37, win 501, length 164
00:19:00.987947 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 69796:69960, ack 37, win 501, length 164
00:19:00.988214 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 65192, win 513, length 0
00:19:00.988224 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 69960:70124, ack 37, win 501, length 164
00:19:00.988277 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 65476, win 512, length 0
00:19:00.988285 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 70124:70408, ack 37, win 501, length 284
00:19:00.988333 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 70408:70692, ack 37, win 501, length 284
00:19:00.988373 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 70692:70856, ack 37, win 501, length 164
00:19:00.988411 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 70856:71020, ack 37, win 501, length 164
00:19:00.988449 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 71020:71184, ack 37, win 501, length 164
00:19:00.988485 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 71184:71348, ack 37, win 501, length 164
00:19:00.988522 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 71348:71512, ack 37, win 501, length 164
00:19:00.988560 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 71512:71676, ack 37, win 501, length 164
00:19:00.988596 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 71676:71840, ack 37, win 501, length 164
00:19:00.988633 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 71840:72004, ack 37, win 501, length 164
00:19:00.988669 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 72004:72168, ack 37, win 501, length 164
00:19:00.989613 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 66372, win 508, length 0
00:19:00.989620 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 72168:72332, ack 37, win 501, length 164
00:19:00.989672 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 72332:72616, ack 37, win 501, length 284
00:19:00.989709 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 72616:72780, ack 37, win 501, length 164
00:19:00.989747 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 72780:72944, ack 37, win 501, length 164
00:19:00.990473 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 66700, win 513, length 0
00:19:00.990478 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 72944:73108, ack 37, win 501, length 164
00:19:00.990545 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 73108:73392, ack 37, win 501, length 284
00:19:00.991367 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 67968, win 508, length 0
00:19:00.991376 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 73392:73556, ack 37, win 501, length 164
00:19:00.991424 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 73556:73840, ack 37, win 501, length 284
00:19:00.991467 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 73840:74004, ack 37, win 501, length 164
00:19:00.991509 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 74004:74168, ack 37, win 501, length 164
00:19:00.991549 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 74168:74332, ack 37, win 501, length 164
00:19:00.991590 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 74332:74496, ack 37, win 501, length 164
00:19:00.991638 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 74496:74660, ack 37, win 501, length 164
00:19:00.997941 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 68132, win 507, length 0
00:19:00.997965 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 74660:74824, ack 37, win 501, length 164
00:19:01.000763 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 68580, win 513, length 0
00:19:01.000781 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 74824:75108, ack 37, win 501, length 284
00:19:01.000878 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 75108:75392, ack 37, win 501, length 284
00:19:01.001822 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 69960, win 507, length 0
00:19:01.001832 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 75392:75556, ack 37, win 501, length 164
00:19:01.001888 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 75556:75840, ack 37, win 501, length 284
00:19:01.001926 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 75840:76004, ack 37, win 501, length 164
00:19:01.001962 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 76004:76168, ack 37, win 501, length 164
00:19:01.001998 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 76168:76332, ack 37, win 501, length 164
00:19:01.002034 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 76332:76496, ack 37, win 501, length 164
00:19:01.002069 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 76496:76660, ack 37, win 501, length 164
00:19:01.002102 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 70124, win 513, options [nop,nop,sack 1 {70408:70692}], length 0
00:19:01.002119 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 76660:76824, ack 37, win 501, length 164
00:19:01.002156 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 70124, win 513, options [nop,nop,sack 2 {70856:71020}{70408:70692}], length 0
00:19:01.002188 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 76824:77308, ack 37, win 501, length 484
00:19:01.002225 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 77308:77472, ack 37, win 501, length 164
00:19:01.002522 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 70124, win 513, options [nop,nop,sack 3 {71184:72168}{70856:71020}{70408:70692}], length 0
00:19:01.002533 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 70124:70408, ack 37, win 501, length 284
00:19:01.002545 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 70692:70856, ack 37, win 501, length 164
00:19:01.002548 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 71020:71184, ack 37, win 501, length 164
00:19:01.002564 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 70124, win 513, options [nop,nop,sack 3 {71184:72332}{70856:71020}{70408:70692}], length 0
00:19:01.002589 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 77472:77636, ack 37, win 501, length 164
00:19:01.002678 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 77636:78552, ack 37, win 501, length 916
00:19:01.003347 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 70124, win 513, options [nop,nop,sack 3 {71184:72616}{70856:71020}{70408:70692}], length 0
00:19:01.003354 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 78552:78716, ack 37, win 501, length 164
00:19:01.003391 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 70124, win 513, options [nop,nop,sack 3 {71184:72944}{70856:71020}{70408:70692}], length 0
00:19:01.003434 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 78716:79240, ack 37, win 501, length 524
00:19:01.003929 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 70124, win 513, options [nop,nop,sack 3 {71184:73108}{70856:71020}{70408:70692}], length 0
00:19:01.003936 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 79240:79404, ack 37, win 501, length 164
00:19:01.003972 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 70124, win 513, options [nop,nop,sack 3 {71184:73392}{70856:71020}{70408:70692}], length 0
00:19:01.004012 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 79404:79928, ack 37, win 501, length 524
00:19:01.004556 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 70124, win 513, options [nop,nop,sack 3 {71184:73556}{70856:71020}{70408:70692}], length 0
00:19:01.004556 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 70124, win 513, options [nop,nop,sack 3 {71184:73840}{70856:71020}{70408:70692}], length 0
00:19:01.004564 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 79928:80092, ack 37, win 501, length 164
00:19:01.005689 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 70124, win 513, options [nop,nop,sack 3 {71184:74660}{70856:71020}{70408:70692}], length 0
00:19:01.005697 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 80092:80616, ack 37, win 501, length 524
00:19:01.011374 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 70124, win 513, options [nop,nop,sack 3 {71184:74824}{70856:71020}{70408:70692}], length 0
00:19:01.011380 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 80616:80964, ack 37, win 501, length 348
00:19:01.014462 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 70124, win 513, options [nop,nop,sack 3 {71184:75108}{70856:71020}{70408:70692}], length 0
00:19:01.014479 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 80964:81312, ack 37, win 501, length 348
00:19:01.014497 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 70124, win 513, options [nop,nop,sack 3 {71184:75392}{70856:71020}{70408:70692}], length 0
00:19:01.014497 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 70124, win 513, options [nop,nop,sack 3 {71184:75556}{70856:71020}{70408:70692}], length 0
00:19:01.014559 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 81312:81524, ack 37, win 501, length 212
00:19:01.017294 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 70124, win 513, options [nop,nop,sack 3 {71184:75840}{70856:71020}{70408:70692}], length 0
00:19:01.017294 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 70124, win 513, options [nop,nop,sack 3 {71184:76332}{70856:71020}{70408:70692}], length 0
00:19:01.017310 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 81524:82220, ack 37, win 501, length 696
00:19:01.017387 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 82220:82432, ack 37, win 501, length 212
00:19:01.017420 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 82432:82468, ack 37, win 501, length 36
00:19:01.017457 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 82468:82688, ack 37, win 501, length 220
00:19:01.018731 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 70124, win 513, options [nop,nop,sack 3 {71184:76824}{70856:71020}{70408:70692}], length 0
00:19:01.018731 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 70124, win 513, options [nop,nop,sack 3 {71184:77308}{70856:71020}{70408:70692}], length 0
00:19:01.018731 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 70124, win 513, options [nop,nop,sack 3 {71184:77472}{70856:71020}{70408:70692}], length 0
00:19:01.018731 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 70692, win 511, options [nop,nop,sack 2 {71184:77472}{70856:71020}], length 0
00:19:01.018731 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 71020, win 509, options [nop,nop,sack 1 {71184:77472}], length 0
00:19:01.018731 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 77472, win 513, length 0
00:19:01.018731 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 80092, win 513, length 0
00:19:01.018752 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 82688:83288, ack 37, win 501, length 600
00:19:01.018842 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 83288:83500, ack 37, win 501, length 212
00:19:01.018904 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 83500:84064, ack 37, win 501, length 564
00:19:01.018961 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 84064:84612, ack 37, win 501, length 548
00:19:01.019012 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 84612:85040, ack 37, win 501, length 428
00:19:01.019062 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 85040:85204, ack 37, win 501, length 164
00:19:01.019097 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 85204:85368, ack 37, win 501, length 164
00:19:01.019136 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 85368:85540, ack 37, win 501, length 172
00:19:01.019172 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 85540:85704, ack 37, win 501, length 164
00:19:01.019199 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 80616, win 511, length 0
00:19:01.019228 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 85704:85988, ack 37, win 501, length 284
00:19:01.019267 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 85988:86152, ack 37, win 501, length 164
00:19:01.019303 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 86152:86316, ack 37, win 501, length 164
00:19:01.019341 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 86316:86480, ack 37, win 501, length 164
00:19:01.019378 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 86480:86644, ack 37, win 501, length 164
00:19:01.019415 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 86644:86808, ack 37, win 501, length 164
00:19:01.019452 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 86808:86972, ack 37, win 501, length 164
00:19:01.019488 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 86972:87136, ack 37, win 501, length 164
00:19:01.024103 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [P.], seq 37:73, ack 80616, win 511, length 36
00:19:01.027752 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 81312, win 508, length 0
00:19:01.027772 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 87136:87464, ack 73, win 501, length 328
00:19:01.027867 IP ubuntu-s-1vcpu-1gb-nyc1-01.ssh > 69.166.116.10.5276: Flags [P.], seq 87464:87748, ack 73, win 501, length 284
00:19:01.030404 IP 69.166.116.10.5276 > ubuntu-s-1vcpu-1gb-nyc1-01.ssh: Flags [.], ack 82220, win 513, length 0
